,ID_ESTACIO,CODI_GRUP_ESTACIO,NOM_ESTACIO,NOM_LINIA,ID_LINIA,ORDRE_ESTACIO,ID_TIPUS_ACCESSIBILITAT,GEOMETRY
169,11,6660210,Paral·lel,FM,1,1,1,POINT (2.168853176999821 41.37384752700368)
170,12,6669902,Parc de Montjuïc,FM,1,2,1,POINT (2.163268768163695 41.36895607486559)
48,13,6660314,Zona Universitària,L3,2,1,1,POINT (2.1111785337331934 41.38411534410362)
49,132,6660315,Palau Reial,L3,2,2,1,POINT (2.118538181084618 41.385980056620134)
50,5,6660316,Maria Cristina,L3,2,3,1,POINT (2.125791232923749 41.38781569227959)
51,7,6660317,Les Corts,L3,2,4,1,POINT (2.1308710146162624 41.384119684361195)
52,8,6660318,Plaça del Centre,L3,2,5,1,POINT (2.1358837134051947 41.38192170670766)
53,14,6660319,Sants Estació,L3,2,6,1,POINT (2.140992260494352 41.38159824846632)
54,67,6660320,Tarragona,L3,2,7,1,POINT (2.1453357748823865 41.378493002424634)
55,15,6660122,Espanya,L3,2,8,3,POINT (2.151554638605345 41.37501825024238)
56,20,6660322,Poble Sec,L3,2,9,1,POINT (2.1602448223915327 41.374996204246344)
57,22,6660210,Paral·lel,L3,2,10,1,POINT (2.1691181337700103 41.374892188019956)
58,68,6660324,Drassanes,L3,2,11,1,POINT (2.1756641701931962 41.37653760970823)
59,21,6660325,Liceu,L3,2,12,1,POINT (2.1730302773575945 41.3814454250764)
60,66,6660126,Catalunya,L3,2,13,1,POINT (2.170091830786193 41.38632215668891)
61,16,6660213,Passeig de Gràcia,L3,2,14,1,POINT (2.16534697064377 41.39160315557566)
62,122,6660328,Diagonal,L3,2,15,1,POINT (2.160047462460906 41.39588794733583)
63,69,6660329,Fontana,L3,2,16,1,POINT (2.1530224404295164 41.40200887904024)
64,119,6660330,Lesseps,L3,2,17,1,POINT (2.1504071221317904 41.405738025515355)
65,72,6660331,Vallcarca,L3,2,18,1,POINT (2.144337309169914 41.411974951406016)
66,23,6660332,Penitents,L3,2,19,1,POINT (2.140971786114312 41.41827911730064)
67,71,6660333,Vall d'Hebron,L3,2,20,1,POINT (2.1425645984456283 41.425282662715574)
68,127,6660334,Montbau,L3,2,21,1,POINT (2.145039277808795 41.43062015567553)
69,17,6660335,Mundet,L3,2,22,1,POINT (2.1484718023518736 41.435645266968535)
70,137,6660336,Valldaura,L3,2,23,1,POINT (2.1568778304495613 41.437996077035756)
71,18,6660337,Canyelles,L3,2,24,1,POINT (2.166387551719736 41.44175372856857)
72,70,6660338,Roquetes,L3,2,25,1,POINT (2.1760976903706806 41.44766967770127)
73,19,6660339,Trinitat Nova,L3,2,26,1,POINT (2.1840971350134772 41.44950031842506)
96,24,6660509,Cornellà Centre,L5,3,1,1,POINT (2.0704280856264488 41.35728982068586)
97,73,6660510,Gavarra,L5,3,2,1,POINT (2.0792687248839616 41.35799331639214)
98,123,6660511,Sant Ildefons,L5,3,3,1,POINT (2.084392786677159 41.363381080148336)
99,74,6660512,Can Boixeres,L5,3,4,1,POINT (2.0915060884648176 41.366570750436026)
100,25,6660513,Can Vidalet,L5,3,5,1,POINT (2.099445030163751 41.37127879519907)
101,75,6660514,Pubilla Cases,L5,3,6,1,POINT (2.1072090599014683 41.373837586750604)
102,376,6660555,Ernest Lluch,L5,3,7,1,POINT (2.1115741412575284 41.37590680320786)
103,26,6660515,Collblanc,L5,3,8,1,POINT (2.1191953172967666 41.375743502145035)
104,76,6660516,Badal,L5,3,9,1,POINT (2.127402112543491 41.37558063118747)
105,6,6660120,Plaça de Sants,L5,3,10,3,POINT (2.135158937983289 41.37572752856528)
106,77,6660319,Sants Estació,L5,3,11,1,POINT (2.1403981311104614 41.37995553561423)
107,27,6660519,Entença,L5,3,12,1,POINT (2.145618590090013 41.38446685535986)
108,118,6660520,Hospital Clínic,L5,3,13,1,POINT (2.151081070999777 41.388607764469285)
109,28,6660328,Diagonal,L5,3,14,1,POINT (2.1588295194120284 41.394434621954986)
110,78,6660427,Verdaguer,L5,3,15,3,POINT (2.167089429705316 41.398951748826605)
111,29,6660216,Sagrada Família,L5,3,16,1,POINT (2.1736176718394042 41.40383491161462)
112,61,6660524,Sant Pau | Dos de Maig,L5,3,17,1,POINT (2.1760160280003675 41.41075327997014)
113,79,6660525,Camp de l'Arpa,L5,3,18,1,POINT (2.181497212109148 41.41505960638405)
114,133,6660133,La Sagrera,L5,3,19,1,POINT (2.1865821259707423 41.421296371102905)
115,138,6660527,Congrés,L5,3,20,1,POINT (2.181186224264109 41.42344042865811)
116,30,6660431,Maragall,L5,3,21,3,POINT (2.1764850046506017 41.425045349513496)
117,80,6660529,Virrei Amat,L5,3,22,3,POINT (2.174913058009734 41.42970333896579)
118,31,6660530,Vilapicina,L5,3,23,1,POINT (2.167619083986825 41.430465066864016)
119,32,6660531,Horta,L5,3,24,1,POINT (2.159974396439855 41.429692524411095)
120,100,6660532,El Carmel,L5,3,25,1,POINT (2.1550989391746174 41.424449773703074)
121,101,6660533,El Coll | La Teixonera,L5,3,26,1,POINT (2.1483484951724954 41.4219971367312)
122,102,6660333,Vall d'Hebron,L5,3,27,1,POINT (2.1423559823685125 41.4249931495389)
0,81,6660111,Hospital de Bellvitge,L1,4,1,1,POINT (2.107241921905464 41.344677306491334)
1,33,6660112,Bellvitge,L1,4,2,1,POINT (2.1109169952642675 41.35097554129953)
2,34,6660113,Av. Carrilet,L1,4,3,1,POINT (2.102631528901838 41.35855331385863)
3,82,6660114,Rambla Just Oliveras,L1,4,4,1,POINT (2.0997493392175293 41.3640899130925)
4,35,6660115,Can Serra,L1,4,5,1,POINT (2.1027575190099883 41.367694011134795)
5,36,6660116,Florida,L1,4,6,1,POINT (2.1100273658989885 41.36831605180378)
6,83,6660117,Torrassa,L1,4,7,1,POINT (2.1165937852524435 41.36839566052364)
7,37,6660118,Santa Eulàlia,L1,4,8,1,POINT (2.1286172553621183 41.36881637467315)
8,128,6660119,Mercat Nou,L1,4,9,1,POINT (2.133535784694404 41.373002700088556)
9,124,6660120,Plaça de Sants,L1,4,10,3,POINT (2.1381539316094176 41.37535306523874)
10,10,6660121,Hostafrancs,L1,4,11,1,POINT (2.1432912673316498 41.37525362810128)
11,39,6660122,Espanya,L1,4,12,3,POINT (2.1493824969898103 41.37551004426985)
12,121,6660123,Rocafort,L1,4,13,1,POINT (2.154562483439547 41.37923215305268)
13,38,6660124,Urgell,L1,4,14,1,POINT (2.1588909108500465 41.38248740020102)
14,85,6660125,Universitat,L1,4,15,1,POINT (2.1642838555557415 41.385814896985046)
15,84,6660126,Catalunya,L1,4,16,1,POINT (2.168994603265247 41.38748942850508)
16,40,6660127,Urquinaona,L1,4,17,3,POINT (2.174566581524138 41.389636425102836)
17,134,6660128,Arc de Triomf,L1,4,18,1,POINT (2.181164673248104 41.392336659636584)
18,86,6660129,Marina,L1,4,19,1,POINT (2.1858010331425235 41.39472528791244)
19,41,6660130,Glòries,L1,4,20,1,POINT (2.187537470950601 41.4022772166665)
20,62,6660131,Clot,L1,4,21,3,POINT (2.1870027074695884 41.41016343442273)
21,44,6660132,Navas,L1,4,22,1,POINT (2.1870567842653172 41.41618670887784)
22,87,6660133,La Sagrera,L1,4,23,1,POINT (2.1869753319473184 41.42236876778433)
23,42,6660134,Fabra i Puig,L1,4,24,1,POINT (2.183661431503222 41.42963259534842)
24,88,6660135,Sant Andreu,L1,4,25,1,POINT (2.1911868908810366 41.43660044290323)
25,9,6660136,Torras i Bages,L1,4,26,1,POINT (2.190670630058029 41.44322471120022)
26,43,6660137,Trinitat Vella,L1,4,27,1,POINT (2.19383728111338 41.448956491210204)
27,89,6660138,Baró de Viver,L1,4,28,1,POINT (2.1995630177315273 41.449935998152824)
28,63,6660139,Santa Coloma,L1,4,29,1,POINT (2.2079694594622845 41.451067345464494)
29,139,6660140,Fondo,L1,4,30,1,POINT (2.2184351315232798 41.45158314986258)
74,108,6660221,La Pau,L4,5,1,1,POINT (2.2051936070946385 41.423677990064625)
75,90,6660414,Besòs,L4,5,2,1,POINT (2.210231432719594 41.419901283124716)
76,120,6660415,Besòs Mar,L4,5,3,1,POINT (2.216081591411872 41.415098995619424)
77,45,6660416,El Maresme | Fòrum,L4,5,4,1,POINT (2.2166919446941318 41.41177980668214)
78,91,6660417,Selva de Mar,L4,5,5,1,POINT (2.209122498871073 41.40800151156723)
79,50,6660418,Poblenou,L4,5,6,1,POINT (2.2033712341158838 41.40371611757544)
80,46,6660419,Llacuna,L4,5,7,1,POINT (2.197711708647738 41.39942503860002)
81,92,6660420,Bogatell,L4,5,8,1,POINT (2.192012401533471 41.395107503840855)
82,141,6660421,Ciutadella | Vila Olímpica,L4,5,9,3,POINT (2.1929907067808103 41.38668673570774)
83,47,6660422,Barceloneta,L4,5,10,1,POINT (2.184786783641099 41.381810977055316)
84,93,6660423,Jaume I,L4,5,11,1,POINT (2.178531464537553 41.384126274544364)
85,94,6660127,Urquinaona,L4,5,12,3,POINT (2.1734447176875715 41.387960590591376)
86,3,6660213,Passeig de Gràcia,L4,5,13,1,POINT (2.167846312978762 41.390057124825155)
87,48,6660426,Girona,L4,5,14,1,POINT (2.17082483204024 41.394920347488814)
88,51,6660427,Verdaguer,L4,5,15,3,POINT (2.1680600158861147 41.400364953509836)
89,49,6660428,Joanic,L4,5,16,1,POINT (2.16322502517123 41.40642689565163)
90,95,6660429,Alfons X,L4,5,17,1,POINT (2.166382317620576 41.41237708360561)
91,125,6660430,Guinardó | Hospital de Sant Pau,L4,5,18,1,POINT (2.1739890445261802 41.415962196795135)
92,4,6660431,Maragall,L4,5,19,3,POINT (2.1773969166751077 41.42310447161922)
93,107,6660432,Llucmajor,L4,5,20,1,POINT (2.173343398047292 41.43698464869135)
94,135,6660433,Via Júlia,L4,5,21,1,POINT (2.178549960776955 41.443730234715765)
95,109,6660339,Trinitat Nova,L4,5,22,1,POINT (2.182434320995176 41.44915619300977)
30,110,6660210,Paral·lel,L2,6,1,1,POINT (2.169116794897992 41.37500406102914)
31,131,6660211,Sant Antoni,L2,6,2,1,POINT (2.1632411382555055 41.37983283932031)
32,52,6660125,Universitat,L2,6,3,1,POINT (2.163913361869796 41.38476754205573)
33,111,6660213,Passeig de Gràcia,L2,6,4,1,POINT (2.1682429227154443 41.389416186833074)
34,53,6660214,Tetuan,L2,6,5,1,POINT (2.175559181787991 41.394887450597096)
35,54,6660215,Monumental,L2,6,6,1,POINT (2.1794616714099684 41.40052374172786)
36,64,6660216,Sagrada Família,L2,6,7,1,POINT (2.1751061426382496 41.403985461635365)
37,112,6660217,Encants,L2,6,8,1,POINT (2.182700370252568 41.40723597843338)
38,55,6660131,Clot,L2,6,9,1,POINT (2.186834589944875 41.41035844850356)
39,113,6660219,Bac de Roda,L2,6,10,1,POINT (2.1955032531185723 41.41516206251577)
40,56,6660220,Sant Martí,L2,6,11,1,POINT (2.2007239139818875 41.419063621458996)
41,57,6660221,La Pau,L2,6,12,1,POINT (2.205608148173806 41.42403302510149)
42,58,6660222,Verneda,L2,6,13,1,POINT (2.209883422365895 41.43000446400387)
43,136,6660223,Artigues | Sant Adrià,L2,6,14,1,POINT (2.217771760065826 41.43384822541837)
44,114,6660224,Sant Roc,L2,6,15,1,POINT (2.22860617965681 41.43583082252647)
45,59,6660225,Gorg,L2,6,16,1,POINT (2.2334409930935344 41.440237216720185)
46,115,6660226,Pep Ventura,L2,6,17,1,POINT (2.237959375095989 41.4439045741019)
47,99,6660227,Badalona Pompeu Fabra,L2,6,18,1,POINT (2.244096816044607 41.44905421071657)
164,65,6660339,Trinitat Nova,L11,7,1,1,POINT (2.1823657384539725 41.4491997342822)
165,60,6661137,Casa de l'Aigua,L11,7,2,1,POINT (2.1848396459573656 41.451277844017426)
166,2,6661138,Torre Baró | Vallbona,L11,7,3,1,POINT (2.1798835778205032 41.45919574810995)
167,126,6661139,Ciutat Meridiana,L11,7,4,1,POINT (2.174649879224937 41.46080820561607)
168,1,6661140,Can Cuiàs,L11,7,5,1,POINT (2.173059363097836 41.46241309910048)
123,117,6660133,La Sagrera,L9N,10,1,1,POINT (2.186723178122834 41.42049390964819)
124,103,6660932,Onze de Setembre,L9N,10,2,1,POINT (2.193564024441589 41.429558827612226)
125,104,6660933,Bon Pastor,L9N,10,3,1,POINT (2.2052943593324428 41.43620276671675)
126,96,6660940,Can Peixauet,L9N,10,4,1,POINT (2.2100273277790428 41.44398590815181)
127,116,6660941,Santa Rosa,L9N,10,5,1,POINT (2.2158089802865106 41.44685031178436)
128,129,6660140,Fondo,L9N,10,6,1,POINT (2.218485278203989 41.45187612388619)
129,140,6660943,Església Major,L9N,10,7,1,POINT (2.212176867433306 41.454797043178395)
130,98,6660944,Singuerlín,L9N,10,8,1,POINT (2.2054288460907183 41.45941351575915)
131,97,6660945,Can Zam,L9N,10,9,1,POINT (2.1985694162738683 41.456666111515304)
147,117,6660133,La Sagrera,L10N,11,1,1,POINT (2.186723178122834 41.42049390964819)
148,103,6660932,Onze de Setembre,L10N,11,2,1,POINT (2.193564024441589 41.429558827612226)
149,104,6660933,Bon Pastor,L10N,11,3,1,POINT (2.2052943593324428 41.43620276671675)
150,105,6660934,Llefià,L10N,11,4,1,POINT (2.216906383705608 41.441359580549786)
151,106,6660935,La Salut,L10N,11,5,1,POINT (2.224737073931071 41.442817097125406)
152,130,6660225,Gorg,L10N,11,6,1,POINT (2.2338915631575107 41.44044324369498)
132,313,6660901,Aeroport T1,L9S,12,1,1,POINT (2.07115199121738 41.28829483589318)
133,315,6660903,Aeroport T2,L9S,12,2,1,POINT (2.0731133341366688 41.30382333421845)
134,316,6660904,Mas Blau,L9S,12,3,1,POINT (2.0734710574676423 41.311225361691974)
135,317,6660905,Parc Nou,L9S,12,4,1,POINT (2.0879294280214027 41.316628454057685)
136,318,6660906,Cèntric,L9S,12,5,1,POINT (2.0934632422362887 41.322250016313035)
137,319,6660907,El Prat Estació,L9S,12,6,1,POINT (2.0899271044508416 41.33199264221667)
138,321,6660909,Les Moreres,L9S,12,7,1,POINT (2.103073086929979 41.329118641471766)
139,322,6660910,Mercabarna,L9S,12,8,1,POINT (2.1112537335089394 41.33348460371202)
140,323,6660911,Parc Logístic,L9S,12,9,1,POINT (2.127401250786491 41.341663546077285)
141,324,6660912,Fira,L9S,12,10,1,POINT (2.130451504489052 41.35198805477054)
142,325,6660913,Europa | Fira,L9S,12,11,1,POINT (2.1259237814712875 41.35756042682608)
143,326,6660914,Can Tries | Gornal,L9S,12,12,1,POINT (2.117992580878504 41.36089363267124)
144,328,6660117,Torrassa,L9S,12,13,1,POINT (2.115756109944362 41.36822261856938)
145,329,6660515,Collblanc,L9S,12,14,1,POINT (2.11839717448588 41.37605647512773)
146,330,6660314,Zona Universitària,L9S,12,15,1,POINT (2.1116207999610843 41.38374174422256)
153,332,6660951,ZAL | Riu Vell,L10S,13,1,1,POINT (2.1330954281444714 41.323705867524254)
154,333,6660952,Ecoparc,L10S,13,2,1,POINT (2.1370711814490084 41.33015871130138)
155,334,6660953,Port Comercial | La Factoria,L10S,13,3,1,POINT (2.1406572348295043 41.335983045353615)
156,335,6660954,Zona Franca,L10S,13,4,1,POINT (2.144964431606467 41.34297610170164)
157,337,6660956,Foc,L10S,13,5,1,POINT (2.1418043174739214 41.35616086809139)
158,338,6660957,Foneria,L10S,13,6,1,POINT (2.1382289088556874 41.3610992396304)
159,339,6660958,Ciutat de la Justícia,L10S,13,7,1,POINT (2.1323149668540133 41.36313727354129)
160,340,6660959,Provençana,L10S,13,8,1,POINT (2.124099793279222 41.36135378238542)
161,326,6660914,Can Tries | Gornal,L10S,13,9,1,POINT (2.117992580878504 41.36089363267124)
162,328,6660117,Torrassa,L10S,13,10,1,POINT (2.115756109944362 41.36822261856938)
163,329,6660515,Collblanc,L10S,13,11,1,POINT (2.11839717448588 41.37605647512773)
